id,operacional_system,processor,memory,graphics,fk_game_id
80c35836c0184c1e91dde0f2a05ebbbb2,Windows 7 or higher,Dual Core,4 GB RAM,,1 GB available space,80c35836c0184c1e91dde0f2a05ebbbb
7285f8134497432fa68378ef9efe8dc21,"Windows XP, Windows Vista SP1, Windows 7, Windows 8 or Windows 10 (64bit)",2.0Ghz Intel® Core™2 Duo Processor or AMD equivalent,4 GB RAM, NVIDIA 9800 GT 512 MB Video Card or AMD equivalent,13 GB available space,7285f8134497432fa68378ef9efe8dc2
7285f8134497432fa68378ef9efe8dc22,"Windows 7, Windows 8 or Windows 10 (64bit)",Any Quad-core AMD or Intel Processor,8 GB RAM,NVIDIA GeForce GTX 260 512MB Video Card or AMD equivalent,13 GB available space,7285f8134497432fa68378ef9efe8dc2
9f47dad590a44949b1e2eb519adc0ca11,Windows 7 | Windows 8.1 | Windows 10 | 64 bit only,Intel Core i3 560 @ 3.3 GHz | AMD Phenom II X4 945 @ 3.0 GHz,6 GB RAM,NVIDIA GeForce GTX 460 | AMD Radeon HD 5870 (DirectX-11 compliant with 1GB of VRAM),61 GB available space,9f47dad590a44949b1e2eb519adc0ca1
9f47dad590a44949b1e2eb519adc0ca12,Windows 7 SP1 | Windows 8.1 | Windows 10 | 64 bit only,Intel Core i5-2500K @ 3.3 GHz | AMD FX-8120 @ 3.1 Ghz,8 GB RAM, NVIDIA GeForce GTX 670 (or GTX 760 / GTX 960) | AMD Radeon HD 7970 (or R9 280x [2GB VRAM] / R9 380 / Fury X),61 GB available space,9f47dad590a44949b1e2eb519adc0ca1
ea1854d7e3004420ba3f0759384514c61,10.11.6 (El Capitan),1.8GHz,,Intel HD 4000 series,5 GB available space,ea1854d7e3004420ba3f0759384514c6
ea1854d7e3004420ba3f0759384514c62,10.12.3 (Sierra),2.4GHz,,Radeon R9 M370X,5 GB available space,ea1854d7e3004420ba3f0759384514c6
6467d7c966244e40a72d776ea430f3571,,,4 GB RAM,,,6467d7c966244e40a72d776ea430f357
6467d7c966244e40a72d776ea430f3572,,,4 GB RAM,,,6467d7c966244e40a72d776ea430f357
c9f0e06579234578aaaa0da9bf74c92e1,Windows 7 or later,Dual Core 2GHz Intel or 2.8GHz AMD,2 GB RAM,DirectX 10 compatible with 512MB RAM,,c9f0e06579234578aaaa0da9bf74c92e
c9f0e06579234578aaaa0da9bf74c92e2,Windows 7 or later,Quad Core 2.66GHz Intel or 3.2GHz AMD,4GB RAM,DirectX 10 compatible with 1GB RAM,,c9f0e06579234578aaaa0da9bf74c92e
96fc42dfd48f4689afa8ddf5227198d51,Windows XP Service Pack 3,Core 2 Duo 2GHz or equivalent,3 GB RAM,ATI or NVIDIA card w/512 MB RAM,3 GB available space,96fc42dfd48f4689afa8ddf5227198d5
96fc42dfd48f4689afa8ddf5227198d52,Windows XP Service Pack 3,Core 2 Duo 2GHz or equivalent,3 GB RAM,ATI or NVIDIA card w/512 MB RAM,3 GB available space,96fc42dfd48f4689afa8ddf5227198d5
42ccb715787e47f48648159060135ef11,Windows 7,"Intel Core2Quad Q6600 2,40 GHz",4 GB RAM, GeForce GTX 650 (1024 MB Ram),4 GB available space,42ccb715787e47f48648159060135ef1
42ccb715787e47f48648159060135ef12,Windows 7," Intel Core I5-4440 3,10 GHz",8 GB RAM,GeForce GTX 660 (2048 MB Ram),4 GB available space,42ccb715787e47f48648159060135ef1
d6d175fb16614efc92fe6e65eb8638a31,"Windows 7, Windows 8.1, Windows 10 (64-bit versions only)", Intel Core i3-550 | AMD Phenom II X4 955 or equivalent,4 GB RAM,NVIDIA GeForce GTX 460 (1GB VRAM) | AMD Radeon HD 5770 (1GB VRAM) or equivalent,20 GB available space,d6d175fb16614efc92fe6e65eb8638a3
d6d175fb16614efc92fe6e65eb8638a32,"Windows 7, Windows 8.1, Windows 10 (64-bit versions only)",Intel Core i7-2600K | AMD FX-8350 or equivalent,8 GB RAM,NVIDIA GeForce GTX 780 | AMD Radeon R9 280X or equivalent,20 GB available space,d6d175fb16614efc92fe6e65eb8638a3
